date,open
3/24/2022,3110.555825
3/24/2022,3037.685819
3/23/2022,3037.560754
3/23/2022,2970.196517
3/22/2022,2970.896339
3/22/2022,2890.827178
3/21/2022,2896.045863
3/21/2022,2862.240764
3/20/2022,2860.111539
3/20/2022,2952.131862
3/19/2022,2949.611007
3/19/2022,2939.391677
3/18/2022,2942.836223
3/18/2022,2814.671346
3/17/2022,2816.494982
3/17/2022,2775.108245
3/16/2022,2775.447493
3/16/2022,2619.305369
3/15/2022,2620.599038
3/15/2022,2591.026255
3/14/2022,2591.553492
3/14/2022,2516.1878
3/13/2022,2517.812405
3/13/2022,2569.285582
3/12/2022,2566.393381
3/12/2022,2556.435944
3/11/2022,2557.592889
3/11/2022,2611.153848
3/10/2022,2609.312788
3/10/2022,2727.949652
3/9/2022,2728.650201
3/9/2022,2577.065218
3/8/2022,2578.576689
3/8/2022,2492.814576
3/7/2022,2496.176083
3/7/2022,2550.542599
3/6/2022,2549.888932
3/6/2022,2665.792972
3/5/2022,2666.600702
3/5/2022,2623.183559
3/4/2022,2622.491867
3/4/2022,2830.292693
3/3/2022,2833.81213
3/3/2022,2948.759581
3/2/2022,2977.726556
3/1/2022,2923.514373
2/28/2022,2924.940814
2/28/2022,2618.16025
2/27/2022,2619.153754
2/27/2022,2780.729663
2/26/2022,2779.395769
2/26/2022,2769.494275
2/25/2022,2768.408848
2/25/2022,2595.033903
2/24/2022,2599.333227
2/24/2022,2581.016282
2/23/2022,2579.855509
2/23/2022,2637.98641
2/22/2022,2637.797189
2/22/2022,2569.447974
2/21/2022,2571.617921
2/21/2022,2622.739256
2/20/2022,2622.997653
2/20/2022,2764.757198
2/19/2022,2764.593505
2/19/2022,2780.08
2/18/2022,2886.29
2/17/2022,2884.32
2/17/2022,3126.97
2/16/2022,3126.69
2/16/2022,3179.37
2/15/2022,3184.15
2/15/2022,2932.5
2/14/2022,2935.304741
2/14/2022,2877.540207
2/13/2022,2870.257599
2/13/2022,2919.99
2/12/2022,2923.61
2/11/2022,2927.5
2/11/2022,3074.998444
2/10/2022,3246.504118
2/9/2022,3119.57
2/8/2022,3141.862486
2/7/2022,3141.496504
2/7/2022,3064.194582
2/6/2022,3060.185706
2/6/2022,3020.483378
2/5/2022,3021.143322
2/5/2022,2998.102414
2/4/2022,2697.163601
2/3/2022,2693.2
2/3/2022,2682.685178
2/2/2022,2683.142476
2/2/2022,2789.648713
2/1/2022,2791.137473
2/1/2022,2689.866149
1/31/2022,2690.448189
1/31/2022,2603.199458
1/30/2022,2602.54151
1/30/2022,2603.725042
1/29/2022,2604.25717
1/29/2022,2543.45
1/28/2022,2546.84
1/28/2022,2423.199402
1/27/2022,2425.82
1/27/2022,2460.65
1/26/2022,2463.904548
1/26/2022,2460.616994
1/25/2022,2455.469367
1/25/2022,2441.773682
1/24/2022,2441.4054
1/24/2022,2541.419531
1/23/2022,2542.441282
1/23/2022,2411.499011
1/22/2022,2408.644843
1/22/2022,2569.008815
1/21/2022,2571.526088
1/21/2022,2975.02
1/20/2022,3001.18
1/20/2022,3092.48
1/19/2022,3084.46
1/19/2022,3159.81
1/18/2022,3160.81
1/18/2022,3213.3
1/17/2022,3210.98
1/17/2022,3353.92
1/16/2022,3331.28
1/15/2022,3328.12
1/15/2022,3310.184793
1/14/2022,3238.59
1/13/2022,3239.122389
1/13/2022,3371.01
1/12/2022,3246.53
1/11/2022,3240.921168
1/11/2022,3086.95
1/10/2022,3085.000193
1/10/2022,3147.7
1/9/2022,3151.036129
1/9/2022,3080.649782
1/8/2022,3083.028361
1/8/2022,3197.876289
1/7/2022,3196.078026
1/7/2022,3406.335466
1/6/2022,3410.388506
1/6/2022,3538.513846
1/5/2022,3539.054189
1/5/2022,3785.060827
1/4/2022,3790.518153
1/4/2022,3762.93
1/3/2022,3820.22
1/2/2022,3819.97
1/2/2022,3767.18
1/1/2022,3767.3
1/1/2022,3691.71
12/31/2021,3683.47
12/31/2021,3706.97
12/30/2021,3637.27
12/29/2021,3797.94
12/28/2021,4031.6
12/27/2021,4069.17
12/26/2021,4065.91
12/26/2021,4093.56
12/25/2021,4045.15
12/24/2021,4120.03
12/23/2021,3986.37
12/22/2021,3980.83
12/22/2021,4021.41
12/21/2021,3952.27
12/20/2021,3946.16
12/20/2021,3929.81
12/19/2021,3924.330864
12/19/2021,3957.2
12/18/2021,3961.664091
12/18/2021,3876.508729
12/17/2021,3874.684932
12/17/2021,3957.28
12/16/2021,3960.24213
12/16/2021,4021.820301
12/15/2021,4019.086988
12/15/2021,3861.142297
12/14/2021,3862.677981
12/14/2021,3784.925879
12/13/2021,3784.398889
12/13/2021,4132.331946
12/12/2021,4133.180593
12/12/2021,4088.933858
12/11/2021,3884.92378
12/10/2021,3906.807764
12/10/2021,4104.955037
12/9/2021,4118.268125
12/9/2021,4469.777451
12/8/2021,4446.16037
12/8/2021,4307.713045
12/7/2021,4365.211712
